"","PC1","PC2"
"Austria",0.868215025767678,0.805159096959784
"Belgium",0.805087969151675,-0.926853069939997
"Bulgaria",-1.47748371285462,-0.0739538560957492
"Croatia",-0.845795346964026,-0.328768191124759
"Czechia",0.0120686532874037,-0.91180180610552
"Denmark",1.8915741329574,-0.180333107246467
"Estonia",0.48119023438497,-0.668964131457431
"Finland",1.13676870397716,-0.381257365588139
"France",-0.00425840907489699,0.262993745862267
"Germany",1.01394366607941,0.0822427652314386
"Greece",-0.422881823186945,3.47847487961778
"Hungary",-0.716397529323061,-1.09321291215188
"Ireland",0.8877950679739,-0.404442044299757
"Italy",-0.666762721756464,0.90076976714952
"Latvia",-1.44712394397114,-0.66025669959366
"Lithuania",-1.09354970007817,-0.0550924559998864
"Netherlands",0.992188499980444,-0.0826660958030413
"Poland",-1.32453635129159,-1.30010144836063
"Portugal",-0.908495424720616,-0.0943082184037562
"Romania",-0.780206730654192,1.20607215115386
"Slovakia",-0.577824266983203,-0.856680361313877
"Slovenia",-0.334478065201624,-0.336729220388427
"Spain",-0.067750966103036,1.3149236361458
"Sweden",1.7402716332187,-0.268443693843598
"United Kingdom",0.838441405384844,0.573228635596133
